English short;English formal
Afghanistan;The Islamic Republic of Afghanistan
Albania;The Republic of Albania
Algeria;The People's Democratic Republic of Algeria
Andorra;The Principality of Andorra
Angola;The Republic of Angola
Antigua and Barbuda;Antigua and Barbuda
Argentina;The Argentine Republic
Armenia;The Republic of Armenia
Australia;Australia
Austria;The Republic of Austria
Azerbaijan;The Republic of Azerbaijan
Bahamas;The Commonwealth of the Bahamas
Bahrain;The Kingdom of Bahrain
Bangladesh;The People's Republic of Bangladesh
Barbados;Barbados
Belarus;The Republic of Belarus
Belgium;The Kingdom of Belgium
Belize;Belize
Benin;The Republic of Benin
Bhutan;The Kingdom of Bhutan
Bolivia;The Plurinational State of Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana;The Republic of Botswana
Brazil;The Federative Republic of Brazil
Brunei Darussalam;Brunei Darussalam
Bulgaria;The Republic of Bulgaria
Burkina Faso;Burkina Faso
Burundi;The Republic of Burundi
Cabo Verde;The Republic of Cabo Verde
Cambodia;The Kingdom of Cambodia
Cameroon;The Republic of Cameroon
Canada;Canada
Central African Republic;The Central African Republic
Chad;The Republic of Chad
Chile;The Republic of Chile
China;The People's Republic of China
Colombia;The Republic of Colombia
Comoros;The Union of the Comoros
Congo;The Republic of the Congo
Costa Rica;The Republic of Costa Rica
Côte d'Ivoire;The Republic of Côte d'Ivoire
Croatia;The Republic of Croatia
Cuba;The Republic of Cuba
Cyprus;The Republic of Cyprus
Czechia;The Czech Republic
Democratic People's Republic of Korea;The Democratic People's Republic of Korea
Democratic Republic of the Congo;The Democratic Republic of the Congo
Denmark;The Kingdom of Denmark
Djibouti;The Republic of Djibouti
Dominica;The Commonwealth of Dominica
Dominican Republic;The Dominican Republic
Ecuador;The Republic of Ecuador
Egypt;The Arab Republic of Egypt
El Salvador;The Republic of El Salvador
Equatorial Guinea;The Republic of Equatorial Guinea
Eritrea;The State of Eritrea
Estonia;The Republic of Estonia
Eswatini;The Kingdom of Eswatini
Ethiopia;The Federal Democratic Republic of Ethiopia
Fiji;The Republic of Fiji
Finland;The Republic of Finland
France;The French Republic
Gabon;The Gabonese Republic
Gambia;The Republic of the Gambia
Georgia;Georgia
Germany;The Federal Republic of Germany
Ghana;The Republic of Ghana
Greece;The Hellenic Republic
Grenada;Grenada
Guatemala;The Republic of Guatemala
Guinea;The Republic of Guinea
Guinea-Bissau;The Republic of Guinea-Bissau
Guyana;The Co-operative Republic of Guyana
Haiti;The Republic of Haiti
Honduras;The Republic of Honduras
Hungary;Hungary
Iceland;Iceland
India;The Republic of India
Indonesia;The Republic of Indonesia
Iran;The Islamic Republic of Iran
Iraq;The Republic of Iraq
Ireland;Ireland
Israel;The State of Israel
Italy;The Republic of Italy
Jamaica;Jamaica
Japan;Japan
Jordan;The Hashemite Kingdom of Jordan
Kazakhstan;The Republic of Kazakhstan
Kenya;The Republic of Kenya
Kiribati;The Republic of Kiribati
Kuwait;The State of Kuwait
Kyrgyzstan;The Kyrgyz Republic
Lao People's Democratic Republic;The Lao People's Democratic Republic
Latvia;The Republic of Latvia
Lebanon;The Lebanese Republic
Lesotho;The Kingdom of Lesotho
Liberia;The Republic of Liberia
Libya;The State of Libya
Liechtenstein;The Principality of Liechtenstein
Lithuania;The Republic of Lithuania
Luxembourg;The Grand Duchy of Luxembourg
Madagascar;The Republic of Madagascar
Malawi;The Republic of Malawi
Malaysia;Malaysia
Maldives;The Republic of Maldives
Mali;The Republic of Mali
Malta;The Republic of Malta
Marshall Islands;The Republic of the Marshall Islands
Mauritania;The Islamic Republic of Mauritania
Mauritius;The Republic of Mauritius
Mexico;The United Mexican States
Micronesia;The Federated States of Micronesia
Monaco;The Principality of Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;The Kingdom of Morocco
Mozambique;The Republic of Mozambique
Myanmar;The Republic of the Union of Myanmar
Namibia;The Republic of Namibia
Nauru;The Republic of Nauru
Nepal;Nepal
Netherlands;The Kingdom of the Netherlands
New Zealand;New Zealand
Nicaragua;The Republic of Nicaragua
Niger;The Republic of the Niger
Nigeria;The Federal Republic of Nigeria
North Macedonia;The Republic of North Macedonia
Norway;The Kingdom of Norway
Oman;The Sultanate of Oman
Pakistan;The Islamic Republic of Pakistan
Palau;The Republic of Palau
Panama;The Republic of Panama
Papua New Guinea;The Independent State of Papua New Guinea
Paraguay;The Republic of Paraguay
Peru;The Republic of Peru
Philippines;The Republic of the Philippines
Poland;The Republic of Poland
Portugal;The Portuguese Republic
Qatar;The State of Qatar
Republic of Korea;The Republic of Korea
Republic of Moldova;The Republic of Moldova
Romania;Romania
Russian Federation;The Russian Federation
Rwanda;The Republic of Rwanda
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Lucia;Saint Lucia
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Samoa;The Independent State of Samoa
San Marino;The Republic of San Marino
Sao Tome and Principe;The Democratic Republic of Sao Tome and Principe
Saudi Arabia;The Kingdom of Saudi Arabia
Senegal;The Republic of Senegal
Serbia;The Republic of Serbia
Seychelles;The Republic of Seychelles
Sierra Leone;The Republic of Sierra Leone
Singapore;The Republic of Singapore
Slovakia;The Slovak Republic
Slovenia;The Republic of Slovenia
Solomon Islands;Solomon Islands
Somalia;The Federal Republic of Somalia
South Africa;The Republic of South Africa
South Sudan;The Republic of South Sudan
Spain;The Kingdom of Spain
Sri Lanka;The Democratic Socialist Republic of Sri Lanka
Sudan;The Republic of the Sudan
Suriname;The Republic of Suriname
Sweden;The Kingdom of Sweden
Switzerland;The Swiss Confederation
Syrian Arab Republic;The Syrian Arab Republic
Tajikistan;The Republic of Tajikistan
Thailand;The Kingdom of Thailand
Timor-Leste;The Democratic Republic of Timor-Leste
Togo;The Togolese Republic
Tonga;The Kingdom of Tonga
Trinidad and Tobago;The Republic of Trinidad and Tobago
Tunisia;The Republic of Tunisia
Türkiye;The Republic of Türkiye
Turkmenistan;Turkmenistan
Tuvalu;Tuvalu
Uganda;The Republic of Uganda
Ukraine;Ukraine
United Arab Emirates;The United Arab Emirates
United Kingdom of Great Britain and Northern Ireland;The United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania;The United Republic of Tanzania
United States of America;The United States of America
Uruguay;The Eastern Republic of Uruguay
Uzbekistan;The Republic of Uzbekistan
Vanuatu;The Republic of Vanuatu
Venezuela;The Bolivarian Republic of Venezuela
Viet Nam;The Socialist Republic of Viet Nam
Yemen;The Republic of Yemen
Zambia;The Republic of Zambia
Zimbabwe;The Republic of Zimbabwe
Holy See;The Holy See
State of Palestine;The State of Palestine
